Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Anhui,Mainland China,1/21/2020 10pm,,,,3
Beijing,Mainland China,1/21/2020 10pm,10,,,
Chongqing,Mainland China,1/21/2020 10pm,5,,,
Guangdong,Mainland China,1/21/2020 10pm,17,,,4
Guangxi,Mainland China,1/21/2020 10pm,,,,1
Guizhou,Mainland China,1/21/2020 10pm,,,,1
Hainan,Mainland China,1/21/2020 10pm,,,,1
Heilongjiang,Mainland China,1/21/2020 10pm,,,,1
Henan,Mainland China,1/21/2020 10pm,1,,,
Hong Kong,Hong Kong,1/21/2020 10pm,,,,117
Hubei,Mainland China,1/21/2020 10pm,270,6,25,11
Hunan,Mainland China,1/21/2020 10pm,1,,,
Jiangxi,Mainland China,1/21/2020 10pm,2,,,
Jilin,Mainland China,1/21/2020 10pm,,,,1
Liaoning,Mainland China,1/21/2020 10pm,,,,1
Ningxia,Mainland China,1/21/2020 10pm,,,,1
Shandong,Mainland China,1/21/2020 10pm,1,,,
Shanghai,Mainland China,1/21/2020 10pm,9,,,10
Sichuan,Mainland China,1/21/2020 10pm,2,,,1
Taiwan,Taiwan,1/21/2020 10pm,1,,,
Tianjin,Mainland China,1/21/2020 10pm,2,,,
Yunnan,Mainland China,1/21/2020 10pm,1,,,
Zhejiang,Mainland China,1/21/2020 10pm,5,,,16
,Japan,1/21/2020 10pm,1,,,
Washington,US,1/21/2020 10pm,1,,,
,South Korea,1/21/2020 10pm,1,,,
,Thailand,1/21/2020 10pm,2,,,
Anhui,Mainland China,1/22/20 12:00,1,,,4
Beijing,Mainland China,1/22/20 12:00,14,,,
Chongqing,Mainland China,1/22/20 12:00,6,,,
Fujian,Mainland China,1/22/20 12:00,1,,,
Gansu,Mainland China,1/22/20 12:00,,,,
Guangdong,Mainland China,1/22/20 12:00,26,,,1
Guangxi,Mainland China,1/22/20 12:00,2,,,1
Guizhou,Mainland China,1/22/20 12:00,1,,,
Hainan,Mainland China,1/22/20 12:00,4,,,
Hebei,Mainland China,1/22/20 12:00,1,,,
Heilongjiang,Mainland China,1/22/20 12:00,,,,1
Henan,Mainland China,1/22/20 12:00,5,,,
Hong Kong,Hong Kong,1/22/20 12:00,,,,117
Hubei,Mainland China,1/22/20 12:00,444,17,28,
Hunan,Mainland China,1/22/20 12:00,4,,,
Inner Mongolia,Mainland China,1/22/20 12:00,,,,
Jiangsu,Mainland China,1/22/20 12:00,1,,,
Jiangxi,Mainland China,1/22/20 12:00,2,,,
Jilin,Mainland China,1/22/20 12:00,,,,1
Liaoning,Mainland China,1/22/20 12:00,2,,,
Macau,Macau,1/22/20 12:00,1,,,
Ningxia,Mainland China,1/22/20 12:00,1,,,
Qinghai,Mainland China,1/22/20 12:00,,,,
Shaanxi,Mainland China,1/22/20 12:00,,,,
Shandong,Mainland China,1/22/20 12:00,2,,,
Shanghai,Mainland China,1/22/20 12:00,9,,,10
Shanxi,Mainland China,1/22/20 12:00,1,,,
Sichuan,Mainland China,1/22/20 12:00,5,,,2
Taiwan,Taiwan,1/22/20 12:00,1,,,
Tianjin,Mainland China,1/22/20 12:00,4,,,
Tibet,Mainland China,1/22/20 12:00,,,,
Washington,US,1/22/20 12:00,1,,,
Xinjiang,Mainland China,1/22/20 12:00,,,,
Yunnan,Mainland China,1/22/20 12:00,1,,,
Zhejiang,Mainland China,1/22/20 12:00,10,,,
,Japan,1/22/20 12:00,2,,,
,Thailand,1/22/20 12:00,2,,,
,South Korea,1/22/20 12:00,1,,,
Anhui,Mainland China,1/23/20 12:00,9,,,4
Beijing,Mainland China,1/23/20 12:00,22,,,
Chongqing,Mainland China,1/23/20 12:00,9,,,
Fujian,Mainland China,1/23/20 12:00,5,,,2
Gansu,Mainland China,1/23/20 12:00,2,,,
Guangdong,Mainland China,1/23/20 12:00,32,,2,1
Guangxi,Mainland China,1/23/20 12:00,5,,,
Guizhou,Mainland China,1/23/20 12:00,3,,,
Hainan,Mainland China,1/23/20 12:00,5,,,32
Hebei,Mainland China,1/23/20 12:00,1,1,,
Heilongjiang,Mainland China,1/23/20 12:00,2,,,
Henan,Mainland China,1/23/20 12:00,5,,,
Hong Kong,Hong Kong,1/23/20 12:00,2,,,65
Hubei,Mainland China,1/23/20 12:00,444,17,28,
Hunan,Mainland China,1/23/20 12:00,9,,,
Inner Mongolia,Mainland China,1/23/20 12:00,,,,1
Jiangsu,Mainland China,1/23/20 12:00,5,,,
Jiangxi,Mainland China,1/23/20 12:00,7,,,
Jilin,Mainland China,1/23/20 12:00,1,,,
Liaoning,Mainland China,1/23/20 12:00,3,,,
Macau,Macau,1/23/20 12:00,2,,,
Ningxia,Mainland China,1/23/20 12:00,1,,,
Qinghai,Mainland China,1/23/20 12:00,,,,
Shaanxi,Mainland China,1/23/20 12:00,3,,,1
Shandong,Mainland China,1/23/20 12:00,6,,,2
Shanghai,Mainland China,1/23/20 12:00,16,,,22
Shanxi,Mainland China,1/23/20 12:00,1,,,
Sichuan,Mainland China,1/23/20 12:00,8,,,2
Taiwan,Taiwan,1/23/20 12:00,1,,,
Tianjin,Mainland China,1/23/20 12:00,4,,,
Tibet,Mainland China,1/23/20 12:00,,,,
Washington,US,1/23/20 12:00,1,,,
Xinjiang,Mainland China,1/23/20 12:00,2,,,
Yunnan,Mainland China,1/23/20 12:00,2,,,
Zhejiang,Mainland China,1/23/20 12:00,27,,,
,Japan,1/23/20 12:00,1,,,
,Thailand,1/23/20 12:00,3,,,
,South Korea,1/23/20 12:00,1,,,
,Singapore ,1/23/20 12:00,1,,,
,Philippines,1/23/20 12:00,,,,4
,Malaysia,1/23/20 12:00,,,,4
,Vietnam,1/23/20 12:00,2,,,
,Australia,1/23/20 12:00,,,,1
,Mexico,1/23/20 12:00,,,,1
,Brazil,1/23/20 12:00,,,,1
,Colombia,1/23/20 12:00,,,,1
Hubei,Mainland China,1/24/2020  12pm,549,24,31,
Guangdong,Mainland China,1/24/2020  12pm,53,,2,
Zhejiang,Mainland China,1/24/2020  12pm,43,,1,
Beijing,Mainland China,1/24/2020  12pm,36,,1,
Chongqing,Mainland China,1/24/2020  12pm,27,,,13
Hunan,Mainland China,1/24/2020  12pm,24,,,
Guangxi,Mainland China,1/24/2020  12pm,23,,,
Shanghai,Mainland China,1/24/2020  12pm,20,,1,22
Jiangxi,Mainland China,1/24/2020  12pm,18,,,
Sichuan,Mainland China,1/24/2020  12pm,15,,,4
Shandong,Mainland China,1/24/2020  12pm,15,,,
Anhui,Mainland China,1/24/2020  12pm,15,,,4
Fujian,Mainland China,1/24/2020  12pm,10,,,2
Henan,Mainland China,1/24/2020  12pm,9,,,42
Jiangsu,Mainland China,1/24/2020  12pm,9,,,
Hainan,Mainland China,1/24/2020  12pm,8,,,32
Tianjin,Mainland China,1/24/2020  12pm,8,,,
Yunnan,Mainland China,1/24/2020  12pm,5,,,
Shaanxi,Mainland China,1/24/2020  12pm,5,,,
Heilongjiang,Mainland China,1/24/2020  12pm,4,1,,
Liaoning,Mainland China,1/24/2020  12pm,4,,,
Guizhou,Mainland China,1/24/2020  12pm,3,,,
Jilin,Mainland China,1/24/2020  12pm,3,,,
Taiwan,Taiwan,1/24/2020  12pm,3,,,
Ningxia,Mainland China,1/24/2020  12pm,2,,,1
Hong Kong,Hong Kong,1/24/2020  12pm,2,,,36
Macau,Macau,1/24/2020  12pm,2,,,
Hebei,Mainland China,1/24/2020  12pm,2,1,,
Gansu,Mainland China,1/24/2020  12pm,2,,,
Xinjiang,Mainland China,1/24/2020  12pm,2,,,
Shanxi,Mainland China,1/24/2020  12pm,1,,,
Inner Mongolia,Mainland China,1/24/2020  12pm,1,,,2
Qinghai,Mainland China,1/24/2020  12pm,,,,1
Washington,US,1/24/2020  12pm,1,,,
Chicago,US,1/24/2020  12pm,1,,,
,Japan,1/24/2020  12pm,2,,,
,Thailand,1/24/2020  12pm,5,,,
,South Korea,1/24/2020  12pm,2,,,
,Singapore ,1/24/2020  12pm,3,,,
,Vietnam,1/24/2020  12pm,2,,,
,France,1/24/2020  4pm,2,,,
Hubei,Mainland China,1/25/2020  10pm,1052,,42,52
Zhejiang,Mainland China,1/25/2020  10pm,104,,1,
Guangdong,Mainland China,1/25/2020  12pm,98,,2,
Henan,Mainland China,1/25/2020  12pm,83,3,,1
Chongqing,Mainland China,1/25/2020  12pm,75,,,
Hunan,Mainland China,1/25/2020  12pm,69,,,
Anhui,Mainland China,1/25/2020  12pm,60,4,,
Beijing,Mainland China,1/25/2020  12pm,51,,2,
Sichuan,Mainland China,1/25/2020  12pm,44,4,,
Shanghai,Mainland China,1/25/2020  12pm,40,72,1,1
Shandong,Mainland China,1/25/2020  12pm,39,,,
Jiangxi,Mainland China,1/25/2020  12pm,36,,,
Guangxi,Mainland China,1/25/2020  12pm,33,,,
Jiangsu,Mainland China,1/25/2020  12pm,31,,1,
Hainan,Mainland China,1/25/2020  12pm,19,,,
Liaoning,Mainland China,1/25/2020  12pm,19,,,
Fujian,Mainland China,1/25/2020  12pm,18,20,,
Heilongjiang,Mainland China,1/25/2020  12pm,15,,,1
Shaanxi,Mainland China,1/25/2020  12pm,15,,,
Tianjin,Mainland China,1/25/2020  12pm,13,,,
Hebei,Mainland China,1/25/2020  12pm,13,,,1
Yunnan,Mainland China,1/25/2020  12pm,11,58,,
Shanxi,Mainland China,1/25/2020  12pm,9,,,
Inner Mongolia,Mainland China,1/25/2020  12pm,7,,,
Gansu,Mainland China,1/25/2020  12pm,7,,,
Guizhou,Mainland China,1/25/2020  12pm,5,,,
Hong Kong,Hong Kong,1/25/2020  12pm,5,244,,
Ningxia,Mainland China,1/25/2020  12pm,4,1,,
Jilin,Mainland China,1/25/2020  12pm,4,,,
Xinjiang,Mainland China,1/25/2020  12pm,4,,,
Taiwan,Taiwan,1/25/2020  12pm,3,,,
Macau,Macau,1/25/2020  12pm,2,,,
Qinghai,Mainland China,1/25/2020  12pm,1,,,
Washington,US,1/25/2020  12pm,1,,,
Illinois,US,1/25/2020  12pm,1,,,
,Japan,1/25/2020  12pm,2,,,
,Thailand,1/25/2020  12pm,7,,,
,South Korea,1/25/2020  12pm,3,,,
,Singapore ,1/25/2020  12pm,3,,,
,Vietnam,1/25/2020  12pm,2,,,
,France,1/25/2020  12pm,3,,,
,Australia,1/25/2020  12pm,4,,,
,Nepal,1/25/2020  12pm,1,,,
,Malaysia ,1/25/2020  12pm,3,,,
Hubei,Mainland China,1/26/20 23:00,1423,76,44,
Guangdong,Mainland China,1/26/20 23:00,146,,2,
Zhejiang,Mainland China,1/26/20 23:00,128,,1,
Henan,Mainland China,1/26/20 23:00,128,1,,
Chongqing,Mainland China,1/26/20 23:00,110,,,
Hunan,Mainland China,1/26/20 23:00,100,,,
Anhui,Mainland China,1/26/20 23:00,70,,,
Sichuan,Mainland China,1/26/20 23:00,69,,,
Beijing,Mainland China,1/26/20 23:00,68,,2,
Shandong,Mainland China,1/26/20 23:00,63,,,
Shanghai,Mainland China,1/26/20 23:00,53,1,1,
Jiangxi,Mainland China,1/26/20 23:00,48,,,
Jiangsu,Mainland China,1/26/20 23:00,47,,1,
Guangxi,Mainland China,1/26/20 23:00,46,,,
Fujian,Mainland China,1/26/20 23:00,35,,,
Liaoning,Mainland China,1/26/20 23:00,23,,,
Hainan,Mainland China,1/26/20 23:00,22,,,
Shaanxi,Mainland China,1/26/20 23:00,22,,,
Heilongjiang,Mainland China,1/26/20 23:00,21,1,,
Yunnan,Mainland China,1/26/20 23:00,19,,,
Hebei,Mainland China,1/26/20 23:00,18,1,,
Tianjin,Mainland China,1/26/20 23:00,14,,,
Gansu,Mainland China,1/26/20 23:00,14,,,
Shanxi,Mainland China,1/26/20 23:00,13,,,
Inner Mongolia,Mainland China,1/26/20 23:00,11,,,
Hong Kong,Hong Kong,1/26/20 23:00,8,,,
Guizhou,Mainland China,1/26/20 23:00,7,,,
Jilin,Mainland China,1/26/20 23:00,6,,,
Macau,Macau,1/26/20 23:00,6,,,
Xinjiang,Mainland China,1/26/20 23:00,5,,,
Ningxia,Mainland China,1/26/20 23:00,4,,,
Taiwan,Taiwan,1/26/20 23:00,4,,,
Qinghai,Mainland China,1/26/20 23:00,4,,,
Washington,US,1/26/20 23:00,1,,,
Illinois,US,1/26/20 23:00,1,,,
California,US,1/26/20 23:00,2,,,
Arizona,US,1/26/20 23:00,1,,,
,Japan,1/26/20 23:00,4,,1,
,Thailand,1/26/20 23:00,8,,2,
,South Korea,1/26/20 23:00,3,,,
,Singapore ,1/26/20 23:00,4,,,
,Vietnam,1/26/20 23:00,2,,,
,France,1/26/20 23:00,3,,,
,Australia,1/26/20 23:00,4,,,
,Nepal,1/26/20 23:00,1,,,
,Malaysia ,1/26/20 23:00,4,,,
Ontario,Canada,1/26/20 23:00,1,,,
Hubei,Mainland China,1/27/2020 20:30,2714,100,47,
Zhejiang,Mainland China,1/27/2020 20:30,173,,1,
Henan,Mainland China,1/27/2020 20:30,168,1,,
Guangdong,Mainland China,1/27/2020 20:30,151,,4,
Chongqing,Mainland China,1/27/2020 20:30,132,,,
Anhui,Mainland China,1/27/2020 20:30,106,,,
Hunan,Mainland China,1/27/2020 20:30,100,,,
Sichuan,Mainland China,1/27/2020 20:30,90,,,
Shandong,Mainland China,1/27/2020 20:30,87,,,
Beijing,Mainland China,1/27/2020 20:30,80,1,2,
Jiangxi,Mainland China,1/27/2020 20:30,72,,2,
Jiangsu,Mainland China,1/27/2020 20:30,70,,1,
Shanghai,Mainland China,1/27/2020 20:30,66,1,3,
Fujian,Mainland China,1/27/2020 20:30,59,,,
Guangxi,Mainland China,1/27/2020 20:30,51,,,
Shaanxi,Mainland China,1/27/2020 20:30,35,,,
Hainan,Mainland China,1/27/2020 20:30,33,1,,
Hebei,Mainland China,1/27/2020 20:30,33,1,,
Heilongjiang,Mainland China,1/27/2020 20:30,30,1,,
Liaoning,Mainland China,1/27/2020 20:30,27,,,
Yunnan,Mainland China,1/27/2020 20:30,26,,,
Tianjin,Mainland China,1/27/2020 20:30,23,,,
Shanxi,Mainland China,1/27/2020 20:30,20,,,
Gansu,Mainland China,1/27/2020 20:30,19,,,
Inner Mongolia,Mainland China,1/27/2020 20:30,11,,,
Guizhou,Mainland China,1/27/2020 20:30,9,,,
Hong Kong,Hong Kong,1/27/2020 20:30,8,,,
Ningxia,Mainland China,1/27/2020 20:30,7,,,
Jilin,Mainland China,1/27/2020 20:30,6,,,
Macau,Macau,1/27/2020 20:30,6,,,
Qinghai,Mainland China,1/27/2020 20:30,6,,,
Taiwan,Taiwan,1/27/2020 20:30,5,,,
Xinjiang,Mainland China,1/27/2020 20:30,5,,,
Washington,US,1/27/2020 20:30,1,,,
Illinois,US,1/27/2020 20:30,1,,,
California,US,1/27/2020 20:30,2,,,
Arizona,US,1/27/2020 20:30,1,,,
,Japan,1/27/2020 20:30,4,,1,
,Thailand,1/27/2020 20:30,8,,2,
,South Korea,1/27/2020 20:30,4,,,
,Singapore ,1/27/2020 20:30,5,,,
,Vietnam,1/27/2020 20:30,2,,,
,France,1/27/2020 20:30,3,,,
,Nepal,1/27/2020 20:30,1,,,
,Malaysia ,1/27/2020 20:30,4,,,
Ontario,Canada,1/27/2020 20:30,1,,,
,Cambodia,1/27/2020 20:30,1,,,
,Sri Lanka,1/27/2020 20:30,1,,,
,Ivory Coast,1/27/2020 20:30,0,,,
New South Wales,Australia,1/27/2020 20:30,4,,,
Victoria,Australia,1/27/2020 20:30,1,,,
Bavaria,Germany,1/27/2020 20:30,1,,,
Hubei,Mainland China,1/28/20 23:00,3554,125,80,
Zhejiang,Mainland China,1/28/20 23:00,296,,3,
Guangdong,Mainland China,1/28/20 23:00,241,,5,
Hunan,Mainland China,1/28/20 23:00,221,,,
Henan,Mainland China,1/28/20 23:00,206,2,1,
Anhui,Mainland China,1/28/20 23:00,152,,,
Chongqing,Mainland China,1/28/20 23:00,147,,1,
Shandong,Mainland China,1/28/20 23:00,121,,,
Jiangxi,Mainland China,1/28/20 23:00,109,,3,
Sichuan,Mainland China,1/28/20 23:00,108,,,
Jiangsu,Mainland China,1/28/20 23:00,99,,1,
Beijing,Mainland China,1/28/20 23:00,91,1,4,
Fujian,Mainland China,1/28/20 23:00,82,,,
Shanghai,Mainland China,1/28/20 23:00,80,1,4,
Guangxi,Mainland China,1/28/20 23:00,58,,2,
Shaanxi,Mainland China,1/28/20 23:00,56,,,
Hebei,Mainland China,1/28/20 23:00,48,1,,
Yunnan,Mainland China,1/28/20 23:00,44,,,
Hainan,Mainland China,1/28/20 23:00,43,1,,
Heilongjiang,Mainland China,1/28/20 23:00,37,1,,
Liaoning,Mainland China,1/28/20 23:00,36,,,
Shanxi,Mainland China,1/28/20 23:00,27,,,
Tianjin,Mainland China,1/28/20 23:00,25,,,
Gansu,Mainland China,1/28/20 23:00,24,,,
Inner Mongolia,Mainland China,1/28/20 23:00,16,,,
Xinjiang,Mainland China,1/28/20 23:00,13,,,
Ningxia,Mainland China,1/28/20 23:00,12,,,
Guizhou,Mainland China,1/28/20 23:00,9,,,
Jilin,Mainland China,1/28/20 23:00,9,,,
Hong Kong,Hong Kong,1/28/20 23:00,8,,,
Taiwan,Taiwan,1/28/20 23:00,8,,,
Macau,Macau,1/28/20 23:00,7,,,
Qinghai,Mainland China,1/28/20 23:00,6,,,
Washington,US,1/28/20 18:00,1,,,
Illinois,US,1/28/20 23:00,1,,,
California,US,1/28/20 23:00,2,,,
Arizona,US,1/28/20 23:00,1,,,
,Japan,1/28/20 23:00,7,,1,
,Thailand,1/28/20 23:00,14,,5,
,South Korea,1/28/20 23:00,4,,,
,Singapore ,1/28/20 23:00,7,,,
,Vietnam,1/28/20 23:00,2,,,
,France,1/28/20 23:00,4,,,
,Nepal,1/28/20 23:00,1,,,
,Malaysia ,1/28/20 23:00,7,,,
Ontario,Canada,1/28/20 23:00,1,,,
British Columbia,Canada,1/28/20 23:00,1,,,
,Cambodia,1/28/20 23:00,1,,,
,Sri Lanka,1/28/20 23:00,1,,,
New South Wales,Australia,1/28/20 23:00,4,,,
Victoria,Australia,1/28/20 23:00,1,,,
Bavaria,Germany,1/28/20 23:00,4,,,
Hubei,Mainland China,1/29/20 21:00,4586,162,90,
Zhejiang,Mainland China,1/29/20 21:00,428,,4,
Guangdong,Mainland China,1/29/20 21:00,311,,6,
Henan,Mainland China,1/29/20 21:00,278,2,2,
Hunan,Mainland China,1/29/20 21:00,277,,,
Anhui,Mainland China,1/29/20 21:00,200,,2,
Chongqing,Mainland China,1/29/20 21:00,165,,1,
Jiangxi,Mainland China,1/29/20 21:00,162,,4,
Shandong,Mainland China,1/29/20 21:00,145,,1,
Sichuan,Mainland China,1/29/20 21:00,142,1,1,
Jiangsu,Mainland China,1/29/20 21:00,129,,1,
Beijing,Mainland China,1/29/20 21:00,111,1,4,
Shanghai,Mainland China,1/29/20 21:00,101,1,5,
Fujian,Mainland China,1/29/20 21:00,101,,,
Guangxi,Mainland China,1/29/20 21:00,78,,2,
Hebei,Mainland China,1/29/20 21:00,65,1,,
Shaanxi,Mainland China,1/29/20 21:00,56,,,
Yunnan,Mainland China,1/29/20 21:00,55,,,
Hainan,Mainland China,1/29/20 21:00,43,1,,
Heilongjiang,Mainland China,1/29/20 21:00,43,1,,
Liaoning,Mainland China,1/29/20 21:00,39,,1,
Shanxi,Mainland China,1/29/20 21:00,35,,1,
Tianjin,Mainland China,1/29/20 21:00,27,,,
