Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Anhui,Mainland China,1/21/2020,0,,,3
Beijing,Mainland China,1/21/2020 ,10,,,
Chongqing,Mainland China,1/21/2020,5,,,
Guangdong,Mainland China,1/21/2020 ,17,,,4
Guangxi,Mainland China,1/21/2020 ,0,,,1
Guizhou,Mainland China,1/21/2020 ,0,,,1
Hainan,Mainland China,1/21/2020 ,0,,,1
Heilongjiang,Mainland China,1/21/2020 ,0,,,1
Henan,Mainland China,1/21/2020 ,1,,,
Hong Kong,Hong Kong,1/21/2020 ,0,,,117
Hubei,Mainland China,1/21/2020 ,270,6,25,11
Hunan,Mainland China,1/21/2020 ,1,,,
Jiangxi,Mainland China,1/21/2020 ,2,,,
Jilin,Mainland China,1/21/2020 ,0,,,1
Liaoning,Mainland China,1/21/2020 ,0,,,1
Ningxia,Mainland China,1/21/2020 ,0,,,1
Shandong,Mainland China,1/21/2020 ,1,,,
Shanghai,Mainland China,1/21/2020 ,9,,,10
Sichuan,Mainland China,1/21/2020 ,2,,,1
Taiwan,Taiwan,1/21/2020 ,1,,,
Tianjin,Mainland China,1/21/2020 ,2,,,
Yunnan,Mainland China,1/21/2020 ,1,,,
Zhejiang,Mainland China,1/21/2020 ,5,,,16
,Japan,1/21/2020 ,1,,,
Washington,US,1/21/2020 ,1,,,
,South Korea,1/21/2020 ,1,,,
,Thailand,1/21/2020 ,2,,,
Anhui,Mainland China,1/22/20,1,,,4
Beijing,Mainland China,1/22/20,14,,,
Chongqing,Mainland China,1/22/20,6,,,
Fujian,Mainland China,1/22/20,1,,,
Gansu,Mainland China,1/22/20,0,,,
Guangdong,Mainland China,1/22/20,26,,,1
Guangxi,Mainland China,1/22/20,2,,,1
Guizhou,Mainland China,1/22/20,1,,,
Hainan,Mainland China,1/22/20,4,,,
Hebei,Mainland China,1/22/20,1,,,
Heilongjiang,Mainland China,1/22/20,0,,,1
Henan,Mainland China,1/22/20,5,,,
Hong Kong,Hong Kong,1/22/20,0,,,117
Hubei,Mainland China,1/22/20,444,17,28,
Hunan,Mainland China,1/22/20,4,,,
Inner Mongolia,Mainland China,1/22/20,0,,,
Jiangsu,Mainland China,1/22/20,1,,,
Jiangxi,Mainland China,1/22/20,2,,,
Jilin,Mainland China,1/22/20,0,,,1
Liaoning,Mainland China,1/22/20,2,,,
Macau,Macau,1/22/20,1,,,
Ningxia,Mainland China,1/22/20,1,,,
Qinghai,Mainland China,1/22/20,0,,,
Shaanxi,Mainland China,1/22/20,0,,,
Shandong,Mainland China,1/22/20,2,,,
Shanghai,Mainland China,1/22/20,9,,,10
Shanxi,Mainland China,1/22/20,1,,,
Sichuan,Mainland China,1/22/20,5,,,2
Taiwan,Taiwan,1/22/20,1,,,
Tianjin,Mainland China,1/22/20,4,,,
Tibet,Mainland China,1/22/20,0,,,
Washington,US,1/22/20,1,,,
Xinjiang,Mainland China,1/22/20,0,,,
Yunnan,Mainland China,1/22/20,1,,,
Zhejiang,Mainland China,1/22/20,10,,,
,Japan,1/22/20,2,,,
,Thailand,1/22/20,2,,,
,South Korea,1/22/20,1,,,
Anhui,Mainland China,1/23/20,9,,,4
Beijing,Mainland China,1/23/20,22,,,
Chongqing,Mainland China,1/23/20,9,,,
Fujian,Mainland China,1/23/20,5,,,2
Gansu,Mainland China,1/23/20,2,,,
Guangdong,Mainland China,1/23/20,32,,2,1
Guangxi,Mainland China,1/23/20,5,,,
Guizhou,Mainland China,1/23/20,3,,,
Hainan,Mainland China,1/23/20,5,,,32
Hebei,Mainland China,1/23/20,1,1,,
Heilongjiang,Mainland China,1/23/20,2,,,
Henan,Mainland China,1/23/20,5,,,
Hong Kong,Hong Kong,1/23/20,2,,,65
Hubei,Mainland China,1/23/20,444,17,28,
Hunan,Mainland China,1/23/20,9,,,
Inner Mongolia,Mainland China,1/23/20,0,,,1
Jiangsu,Mainland China,1/23/20,5,,,
Jiangxi,Mainland China,1/23/20,7,,,
Jilin,Mainland China,1/23/20,1,,,
Liaoning,Mainland China,1/23/20,3,,,
Macau,Macau,1/23/20,2,,,
Ningxia,Mainland China,1/23/20,1,,,
Qinghai,Mainland China,1/23/20,0,,,
Shaanxi,Mainland China,1/23/20,3,,,1
Shandong,Mainland China,1/23/20,6,,,2
Shanghai,Mainland China,1/23/20,16,,,22
Shanxi,Mainland China,1/23/20,1,,,
Sichuan,Mainland China,1/23/20,8,,,2
Taiwan,Taiwan,1/23/20,1,,,
Tianjin,Mainland China,1/23/20,4,,,
Tibet,Mainland China,1/23/20,0,,,
Washington,US,1/23/20,1,,,
