Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-01-02 05:30:44,32.3182,-86.9023,365747,4872,202137,158738,1,7459.37589546387,3275341,,1.33206834232407,84000001,USA,66800.2736996463,
Alaska,US,2021-01-02 05:30:44,61.3707,-152.4044,47019,206,7165,39648,2,6427.35580176202,1275750,,0.43812075969289,84000002,USA,174391.185778045,
American Samoa,US,2021-01-02 05:30:44,-14.271,-170.132,0,0,,,60,0,2140,,,16,ASM,3846.08472169803,
Arizona,US,2021-01-02 05:30:44,33.7298,-111.4312,530267,9015,76934,444318,4,7285.17127400337,5155330,,1.70008693733534,84000004,USA,39551.8605820229,
Arkansas,US,2021-01-02 05:30:44,34.9697,-92.3731,229442,3711,199247,26484,5,7602.94571814472,2051488,,1.61740221929725,84000005,USA,67979.4976744679,
California,US,2021-01-02 05:30:44,36.1162,-119.6816,2437356,26168,,,6,6168.71645009697,33058311,,1.07360434102446,84000006,USA,83666.0367097037,
Colorado,US,2021-01-02 05:30:44,39.0598,-105.3111,337161,4873,18102,314186,8,5854.77438104473,4444206,,1.44530357900232,84000008,USA,77173.2894162886,
Connecticut,US,2021-01-02 05:30:44,41.5978,-72.7554,185708,5995,9800,169913,9,5208.78122855187,4320693,,3.22818618476318,84000009,USA,121187.803394229,
Delaware,US,2021-01-02 05:30:44,39.3185,-75.5071,58064,1065,18851,38148,10,5962.84109907534,984606,,1.83418297051529,84000010,USA,101113.411463147,
Diamond Princess,US,2021-01-02 05:30:44,,,49,0,,,88888,,,,0,84088888,USA,,
District of Columbia,US,2021-01-02 05:30:44,38.8974,-77.0268,29252,788,20941,7523,11,4144.81635822368,904302,,2.69383290031451,84000011,USA,128133.65658329,
Florida,US,2021-01-02 05:30:44,27.7663,-81.6868,1323315,21673,,,12,6161.33347754468,17392558,,1.63778087605748,84000012,USA,80979.4719061883,
Georgia,US,2021-01-02 05:30:44,33.0406,-83.6431,677589,10958,,,13,6381.85932688186,5401054,,1.61720452958947,84000013,USA,50869.7261096219,
Grand Princess,US,2021-01-02 05:30:44,,,103,3,,,99999,,,,2.9126213592233,84099999,USA,,
Guam,US,2021-01-02 05:30:44,13.4443,144.7937,7326,122,7047,157,66,4460.84430886141,96201,,1.66530166530167,316,GUM,58577.3523555523,
Hawaii,US,2021-01-02 05:30:44,21.0943,-157.4983,22397,289,11958,10150,15,1581.85203182209,816811,,1.29035138634639,84000015,USA,57689.6075351444,
Idaho,US,2021-01-02 05:30:44,44.2405,-114.4788,141077,1436,58649,80992,16,7894.34072067888,545485,,1.01788385066311,84000016,USA,30524.0715922476,
Illinois,US,2021-01-02 05:30:44,40.3495,-88.9861,963389,17978,,,17,7602.60896993416,13374665,,1.86612053905536,84000017,USA,105546.511428784,
Indiana,US,2021-01-02 05:30:44,39.8494,-86.2583,517773,9468,345474,162831,18,7690.97083740146,5730043,,1.82860056433997,84000018,USA,85113.7344165423,
Iowa,US,2021-01-02 05:30:44,42.0115,-93.2105,282980,3898,241229,37853,19,8969.05615406314,1174406,,1.37748250759771,84000019,USA,37222.8191450586,
Kansas,US,2021-01-02 05:30:44,38.5266,-96.7265,230108,2892,4612,222604,20,7898.49635157762,1012506,,1.25680115424062,84000020,USA,34754.4411621954,
Kentucky,US,2021-01-02 05:30:44,37.6681,-84.6701,265261,2623,36740,225898,21,5937.34143031507,3148606,,0.98883740919321,84000021,USA,70475.3011243213,
Louisiana,US,2021-01-02 05:30:44,31.1695,-91.8678,315275,7488,263712,44075,22,6781.86643675758,4214182,,2.37506938387122,84000022,USA,90651.0806888841,
Maine,US,2021-01-02 05:30:44,44.6939,-69.3819,24902,352,11374,13176,23,1852.535165584,1111413,,1.41354108103767,84000023,USA,82681.3776398366,
Maryland,US,2021-01-02 05:30:44,39.0639,-76.8021,280219,5942,9358,264919,24,4635.02864855566,5761534,,2.12048433546619,84000024,USA,95300.0158791071,
Massachusetts,US,2021-01-02 05:30:44,42.2302,-71.5301,375178,12423,261672,101083,25,5443.27655715203,10944699,,3.31122827031436,84000025,USA,158791.356347614,
Michigan,US,2021-01-02 05:30:44,43.3266,-84.5361,528621,13018,318389,197214,26,5293.16680913725,8113075,,2.46263390973874,84000026,USA,81237.5204731579,
Minnesota,US,2021-01-02 05:30:44,45.6945,-93.9002,415302,5382,397080,12840,27,7363.9911256621,5351379,,1.29592441163298,84000027,USA,94888.7977087867,
Mississippi,US,2021-01-02 05:30:44,32.7416,-89.6787,218386,4816,167263,46307,28,7337.87186058225,1346044,,2.20526956856209,84000028,USA,45227.7086933484,
Missouri,US,2021-01-02 05:30:44,38.4561,-92.2884,445019,5747,397080,42192,29,7250.90379878998,3665980,,1.29140553549399,84000029,USA,59731.5357508064,
Montana,US,2021-01-02 05:30:44,46.9219,-110.4544,81555,961,74991,5603,30,7630.67727816254,791589,,1.17834590153884,84000030,USA,74064.8666046644,
Nebraska,US,2021-01-02 05:30:44,41.1254,-98.2681,167716,1668,107694,58354,31,8670.14611188539,1755820,,0.994538386319731,84000031,USA,90767.8214730295,
Nevada,US,2021-01-02 05:30:44,38.3135,-117.0554,227046,3143,,,32,7371.250027596,2095778,,1.38430097865631,84000032,USA,68041.2940123812,
New Hampshire,US,2021-01-02 05:30:44,43.4525,-71.5639,45932,759,37350,7823,33,3378.07078121748,1032929,,1.65244274144387,84000033,USA,75966.8047107069,
New Jersey,US,2021-01-02 05:30:44,40.2989,-74.521,535043,19160,56109,459774,34,6023.77341624081,7792714,,3.5810205908684,84000034,USA,87734.1511496602,
New Mexico,US,2021-01-02 05:30:44,34.8405,-106.2485,144142,2502,66638,75002,35,6874.28493215231,1983507,,1.73578831985126,84000035,USA,94595.5535716074,
New York,US,2021-01-02 05:30:44,42.1657,-74.9481,995816,37973,102968,854875,36,5118.93940651791,25504313,,3.81325465748693,84000036,USA,131103.57018954,
North Carolina,US,2021-01-02 05:30:44,35.6301,-79.8064,539545,6748,403488,129309,37,5144.36192540029,6944103,,1.25068344623711,84000037,USA,66209.452555872,
North Dakota,US,2021-01-02 05:30:44,47.5289,-99.784,92770,1316,89314,2140,38,12173.5501835809,1277930,,1.41856203514067,84000038,USA,167693.70471169,
Northern Mariana Islands,US,2021-01-02 05:30:44,15.0979,145.6739,122,2,29,91,69,221.238938053097,17551,,1.63934426229508,580,MNP,31827.5787030321,
Ohio,US,2021-01-02 05:30:44,40.3888,-82.7649,700380,13766,556106,130508,39,5991.73589070159,7752314,,1.96550444044661,84000039,USA,66320.8801361953,
Oklahoma,US,2021-01-02 05:30:44,35.5653,-96.9289,291209,2489,255843,32877,40,7359.3918176302,2685254,,0.854712594734366,84000040,USA,67861.3515236781,
Oregon,US,2021-01-02 05:30:44,44.572,-122.0709,113909,1477,5870,106562,41,2700.71367655214,2652670,,1.2966490795284,84000041,USA,62893.2055270397,
Pennsylvania,US,2021-01-02 05:30:44,40.5908,-77.2098,657071,16245,429017,211809,42,5132.56963429667,7607664,,2.47233556191036,84000042,USA,30645.581713904,
Puerto Rico,US,2021-01-02 05:30:44,18.2208,-66.5901,77054,1521,66930,8603,72,2412.69201119456,1386353,,1.97394035351831,630,PRI,43409.0742569576,
Rhode Island,US,2021-01-02 05:30:44,41.6809,-71.5118,87949,1944,5381,80624,44,8302.08021628133,1974498,,2.21037192009005,84000044,USA,186385.755186381,
South Carolina,US,2021-01-02 05:30:44,33.8569,-80.945,307507,5296,151084,151127,45,5972.50109444805,3173021,,1.72223721736416,84000045,USA,61627.4471644764,
South Dakota,US,2021-01-02 05:30:44,44.2998,-99.4388,99164,1488,91980,5696,46,11209.2908114878,372640,,1.50054455245855,84000046,USA,42122.4449194548,
Tennessee,US,2021-01-02 05:30:44,35.7478,-86.6923,586802,6907,508914,70981,47,8592.57649607405,5644058,,1.17705801957049,84000047,USA,82646.2761089408,
Texas,US,2021-01-02 05:30:44,31.0545,-97.5635,1782956,28359,1435164,319433,48,6148.99750761151,13848790,,1.59056084390192,84000048,USA,47761.2320177476,
Utah,US,2021-01-02 05:30:44,40.15,-111.8624,276612,1269,224439,50904,49,8628.06062961523,2245303,,0.458765346405796,84000049,USA,70035.321735344,
Vermont,US,2021-01-02 05:30:44,44.0459,-72.7107,7412,136,4959,2317,50,1187.84145233329,697705,,1.8348623853211,84000050,USA,111813.669792256,
Virgin Islands,US,2021-01-02 05:30:44,18.3358,-64.8963,2036,23,1901,112,78,1898.04974456501,36212,,1.12966601178782,850,VIR,33758.4368124697,
Virginia,US,2021-01-02 05:30:44,37.7693,-78.17,354766,5081,30964,318721,51,4156.34948501667,4291320,,1.4322116550064,84000051,USA,50276.0289093141,
Washington,US,2021-01-02 05:30:44,47.4009,-121.4905,246752,3461,,,53,3240.38696275837,3836820,,1.40262287641032,84000053,USA,50385.737527763,
West Virginia,US,2021-01-02 05:30:44,38.4912,-80.9545,87820,1361,60316,26143,54,4900.26766777502,1535487,,1.54976087451606,84000054,USA,85678.6301570128,
Wisconsin,US,2021-01-02 05:30:44,44.2685,-89.6165,522523,5254,450358,66911,55,8974.3052475992,5380828,,1.0055059777273,84000055,USA,92415.4400032701,
Wyoming,US,2021-01-02 05:30:44,42.756,-107.3025,44409,438,42570,1401,56,7673.14201593409,501784,,0.986286563534419,84000056,USA,86699.990842475,
Alabama,US,2021-01-03 05:30:33,32.3182,-86.9023,369458,4872,202137,162449,1,7535.06139376752,3283837,,1.31868845714533,84000001,USA,66973.5488259162,
Alaska,US,2021-01-03 05:30:33,61.3707,-152.4044,47821,215,7165,40441,2,6536.98678823586,1290349,,0.44959327492106,84000002,USA,176386.825144044,
American Samoa,US,2021-01-03 05:30:33,-14.271,-170.132,0,0,,,60,0,2140,,,16,ASM,3846.08472169803,
Arizona,US,2021-01-03 05:30:33,33.7298,-111.4312,539150,9061,77867,452222,4,7407.21201277643,5218721,,1.68060836501901,84000004,USA,39916.1418145533,
Arkansas,US,2021-01-03 05:30:33,34.9697,-92.3731,231442,3729,203701,24012,5,7669.21907453234,2079788,,1.61120280675072,84000005,USA,68917.2656673528,
California,US,2021-01-03 05:30:33,36.1162,-119.6816,2483741,26444,,,6,6286.11050307142,33391442,,1.06466670585422,84000006,USA,84509.1454358313,
Colorado,US,2021-01-03 05:30:33,39.0598,-105.3111,339172,4912,18217,316043,8,5889.69523867738,4474747,,1.44823275506233,84000008,USA,77703.631491355,
Connecticut,US,2021-01-03 05:30:33,41.5978,-72.7554,190120,6099,9800,174221,9,5332.53003194413,4383361,,3.20797391121397,84000009,USA,122945.530051297,
Delaware,US,2021-01-03 05:30:33,39.3185,-75.5071,58873,1072,18851,38950,10,6045.92077751899,991318,,1.8208686494658,84000010,USA,101802.695519654,
Diamond Princess,US,2021-01-03 05:30:33,,,49,0,,,88888,,,,0,84088888,USA,,
District of Columbia,US,2021-01-03 05:30:33,38.8974,-77.0268,29509,792,21002,7715,11,4181.23157099762,911378,,2.68392693754448,84000011,USA,129136.27932877,
Florida,US,2021-01-03 05:30:33,27.7663,-81.6868,1354833,21890,,,12,6308.08078150878,17451529,,1.61569728520046,84000012,USA,81254.0399391239,
Georgia,US,2021-01-03 05:30:33,33.0406,-83.6431,685122,10960,,,13,6452.80874652917,5436988,,1.59971508723994,84000013,USA,51208.1698167248,
Grand Princess,US,2021-01-03 05:30:33,,,103,3,,,99999,,,,2.9126213592233,84099999,USA,,
